Customer_ID,Num_Bank_Accounts,Num_Credit_Card,Type_of_Loan,Credit_History_Age,Account_ID
CUS_0xac93,5,3,"Student Loan, Debt Consolidation Loan, and Auto Loan",21 Years and 7 Months,111
CUS_0x8c69,4,3,"Mortgage Loan, Student Loan, and Mortgage Loan",20 Years and 2 Months,112
CUS_0x365a,0,5,,,113
CUS_0x7586,10,6,"Auto Loan, Auto Loan, Credit-Builder Loan, Not Specified, Not Specified, and Not Specified",12 Years and 2 Months,114
CUS_0x9c67,6,6,"Auto Loan, and Auto Loan",15 Years and 4 Months,115
CUS_0x7caf,2,2,"Payday Loan, and Debt Consolidation Loan",20 Years and 3 Months,116
CUS_0xa2f7,8,3,"Home Equity Loan, Credit-Builder Loan, Personal Loan, and Not Specified",12 Years and 5 Months,117
CUS_0x5e17,6,9,"Mortgage Loan, Home Equity Loan, Personal Loan, Payday Loan, Not Specified, Student Loan, Payday Loan, and Payday Loan",2 Years and 3 Months,118
CUS_0x1288,10,8,"Payday Loan, Payday Loan, Not Specified, Student Loan, Mortgage Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",4 Years and 10 Months,119
CUS_0x567b,5,7,,26 Years and 5 Months,120
CUS_0x2365,8,10,"Personal Loan, Student Loan, Payday Loan, Personal Loan, Not Specified, Not Specified, Mortgage Loan, Not Specified, and Home Equity Loan",1 Years and 5 Months,121
CUS_0x8a04,8,5,"Debt Consolidation Loan, Credit-Builder Loan, Credit-Builder Loan, Personal Loan, and Not Specified",15 Years and 4 Months,122
CUS_0x6015,3,7,"Personal Loan, and Payday Loan",16 Years and 2 Months,123
CUS_0x21e6,2,6,,22 Years and 1 Months,124
CUS_0xa9a6,4,5,"Debt Consolidation Loan, and Auto Loan",30 Years and 9 Months,125
CUS_0x3187,6,10,"Not Specified, Student Loan, Auto Loan, Payday Loan, and Auto Loan",9 Years and 2 Months,126
CUS_0x3fbf,6,5,"Home Equity Loan, and Student Loan",27 Years and 1 Months,127
CUS_0x953c,3,3,"Home Equity Loan, and Student Loan",27 Years and 8 Months,128
CUS_0x4aaa,3,7,"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, and Debt Consolidation Loan",17 Years and 1 Months,129
CUS_0x2947,1,6,"Home Equity Loan, Debt Consolidation Loan, Personal Loan, and Payday Loan",18 Years and 4 Months,130
CUS_0x30e0,0,3,"Not Specified, Payday Loan, Payday Loan, and Debt Consolidation Loan",24 Years and 4 Months,131
CUS_0xc3b7,10,7,"Payday Loan, Not Specified, and Mortgage Loan",7 Years and 11 Months,132
CUS_0x1e9b,5,8,"Mortgage Loan, Mortgage Loan, Not Specified, Personal Loan, Credit-Builder Loan, and Debt Consolidation Loan",5 Years and 7 Months,133
CUS_0x3b88,3,6,"Not Specified, Student Loan, Home Equity Loan, Personal Loan, and Personal Loan",16 Years and 7 Months,134
CUS_0xae51,3,4,"Auto Loan, and Credit-Builder Loan",26 Years and 9 Months,135
CUS_0xb7ef,7,4,"Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Personal Loan, Not Specified, and Payday Loan",11 Years and 9 Months,136
CUS_0xb288,4,3,"Personal Loan, Home Equity Loan, and Debt Consolidation Loan",25 Years and 11 Months,137
CUS_0x7a22,3,5,Personal Loan,28 Years and 10 Months,138
CUS_0x9495,6,5,"Not Specified, Home Equity Loan, and Home Equity Loan",27 Years and 11 Months,139
CUS_0x64f1,8,4,"Student Loan, Home Equity Loan, Not Specified, and Credit-Builder Loan",31 Years and 4 Months,140
CUS_0x6749,7,9,"Credit-Builder Loan, Auto Loan, Student Loan, Student Loan, Personal Loan, Personal Loan, and Auto Loan",11 Years and 4 Months,141
CUS_0xc1c9,3,7,Credit-Builder Loan,21 Years and 1 Months,142
CUS_0x230a,4,1,,24 Years and 2 Months,143
CUS_0x8928,3,5,"Student Loan, and Not Specified",22 Years and 9 Months,144
CUS_0x682f,6,5,"Not Specified, Not Specified, Not Specified, Mortgage Loan, Student Loan, and Auto Loan",13 Years and 3 Months,145
CUS_0x4831,0,1,"Home Equity Loan, Auto Loan, and Home Equity Loan",15 Years and 10 Months,146
CUS_0x32a5,4,6,,,147
CUS_0x710f,7,9,"Mortgage Loan, Payday Loan, Auto Loan, Not Specified, Credit-Builder Loan, and Home Equity Loan",,148
CUS_0xa54b,2,6,"Home Equity Loan, and Not Specified",30 Years and 11 Months,149
CUS_0x564a,8,7,"Credit-Builder Loan, Auto Loan, Credit-Builder Loan, Student Loan, Personal Loan, Not Specified, and Mortgage Loan",14 Years and 5 Months,150
CUS_0xb000,3,3,Payday Loan,15 Years and 10 Months,151
CUS_0x2584,8,5,"Debt Consolidation Loan, Home Equity Loan, and Student Loan",20 Years and 2 Months,152
CUS_0x5a3f,1,4,"Credit-Builder Loan, Student Loan, Mortgage Loan, and Mortgage Loan",22 Years and 4 Months,153
CUS_0xc341,4,3,"Auto Loan, Student Loan, and Student Loan",23 Years and 1 Months,154
CUS_0x1a96,3,5,,18 Years and 11 Months,155
CUS_0xb7a1,8,3,"Personal Loan, Payday Loan, and Personal Loan",18 Years and 2 Months,156
CUS_0x31d5,0,4,,25 Years and 2 Months,157
CUS_0x45f7,7,4,"Debt Consolidation Loan, and Home Equity Loan",18 Years and 10 Months,158
CUS_0x6617,3,7,"Not Specified, Student Loan, and Not Specified",17 Years and 11 Months,159
CUS_0x5b80,7,7,"Personal Loan, Payday Loan, Student Loan, Not Specified, and Not Specified",8 Years and 1 Months,160
CUS_0xa548,10,8,"Student Loan, Credit-Builder Loan, Home Equity Loan, Personal Loan, Home Equity Loan, and Mortgage Loan",7 Years and 11 Months,161
CUS_0xb9ea,6,7,"Home Equity Loan, Mortgage Loan, Credit-Builder Loan, Mortgage Loan, Student Loan, and Student Loan",8 Years and 11 Months,162
CUS_0x54c0,10,8,"Home Equity Loan, Debt Consolidation Loan, Auto Loan, Debt Consolidation Loan, Payday Loan, Student Loan, Personal Loan, Payday Loan, and Credit-Builder Loan",5 Years and 8 Months,163
CUS_0x258b,0,6,"Mortgage Loan, and Personal Loan",18 Years and 8 Months,164
CUS_0x4bb4,7,8,"Mortgage Loan, Credit-Builder Loan, Student Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan",5 Years and 4 Months,165
CUS_0x8e75,1,7,"Mortgage Loan, and Student Loan",24 Years and 10 Months,166
CUS_0xf95,9,5,"Debt Consolidation Loan, Home Equity Loan, and Not Specified",,167
CUS_0x4028,1,5,"Credit-Builder Loan, Personal Loan, and Auto Loan",25 Years and 4 Months,168
CUS_0x8db8,8,3,"Student Loan, and Mortgage Loan",20 Years and 1 Months,169
CUS_0x1e63,10,10,"Credit-Builder Loan, Home Equity Loan, Personal Loan, Auto Loan, Personal Loan, Auto Loan, and Credit-Builder Loan",15 Years and 3 Months,170
CUS_0x4948,8,4,"Home Equity Loan, Personal Loan, Credit-Builder Loan, and Credit-Builder Loan",7 Years and 8 Months,171
CUS_0xc37b,8,6,"Not Specified, Credit-Builder Loan, Not Specified, Credit-Builder Loan, Auto Loan, Payday Loan, Mortgage Loan, and Credit-Builder Loan",18 Years and 5 Months,172
CUS_0xfcc,8,5,Student Loan,27 Years and 8 Months,173
CUS_0x64ce,3,4,"Home Equity Loan, Home Equity Loan, Payday Loan, and Mortgage Loan",31 Years and 11 Months,174
CUS_0x9574,3,4,"Personal Loan, Personal Loan, Personal Loan, and Student Loan",32 Years and 11 Months,175
CUS_0xbc88,8,6,"Personal Loan, Home Equity Loan, Credit-Builder Loan, Not Specified, Home Equity Loan, Personal Loan, and Personal Loan",6 Years and 10 Months,176
CUS_0x661b,6,3,"Home Equity Loan, Personal Loan, and Home Equity Loan",,177
CUS_0xc51,8,4,"Payday Loan, and Credit-Builder Loan",25 Years and 11 Months,178
CUS_0x9536,4,4,"Payday Loan, Personal Loan, Payday Loan, and Mortgage Loan",23 Years and 2 Months,179
CUS_0xc5a0,1,6,Student Loan,21 Years and 2 Months,180
CUS_0xb282,2,3,"Credit-Builder Loan, and Personal Loan",21 Years and 3 Months,181
CUS_0xb9b8,2,5,"Student Loan, Credit-Builder Loan, and Not Specified",21 Years and 8 Months,182
CUS_0x3e81,0,5,Payday Loan,32 Years and 11 Months,183
CUS_0x3702,5,7,,18 Years and 3 Months,184
CUS_0x8a0f,6,9,"Not Specified, Payday Loan, Home Equity Loan, Auto Loan, Home Equity Loan, Student Loan, Credit-Builder Loan, and Personal Loan",10 Years and 4 Months,185
CUS_0x21be,8,3,"Payday Loan, Home Equity Loan, Not Specified, and Credit-Builder Loan",26 Years and 1 Months,186
CUS_0x8c1f,6,7,"Debt Consolidation Loan, Mortgage Loan, Student Loan, Credit-Builder Loan, and Credit-Builder Loan",,187
CUS_0x67e1,8,4,,18 Years and 4 Months,188
CUS_0x1c06,7,8,"Personal Loan, Auto Loan, Personal Loan, Home Equity Loan, Home Equity Loan, Debt Consolidation Loan, and Credit-Builder Loan",14 Years and 10 Months,189
CUS_0x5761,10,9,"Auto Loan, Payday Loan, Mortgage Loan, Student Loan, and Mortgage Loan",,190
CUS_0x9a4a,7,5,"Student Loan, Home Equity Loan, and Mortgage Loan",8 Years and 7 Months,191
CUS_0x100b,1,4,,15 Years and 3 Months,192
CUS_0x6325,4,3,"Auto Loan, Credit-Builder Loan, Home Equity Loan, Personal Loan, and Mortgage Loan",11 Years and 4 Months,193
CUS_0x4e3c,4,6,,28 Years and 2 Months,194
CUS_0xb217,3,6,"Personal Loan, Student Loan, Student Loan, and Not Specified",,195
CUS_0xb374,1,5,"Student Loan, and Mortgage Loan",21 Years and 3 Months,196
CUS_0x1d4e,3,4,,31 Years and 5 Months,197
CUS_0x8a4b,4,6,"Auto Loan, Personal Loan, and Payday Loan",24 Years and 4 Months,198
CUS_0x93ff,5,5,Not Specified,21 Years and 3 Months,199
CUS_0x3e2d,4,7,"Home Equity Loan, Debt Consolidation Loan, Payday Loan, and Credit-Builder Loan",20 Years and 11 Months,200
CUS_0x493c,8,7,Personal Loan,29 Years and 11 Months,201
CUS_0x88a0,6,3,"Payday Loan, Auto Loan, Mortgage Loan, and Mortgage Loan",21 Years and 7 Months,202
CUS_0x543f,6,7,"Debt Consolidation Loan, Debt Consolidation Loan, Home Equity Loan, Mortgage Loan, Student Loan, Payday Loan, Debt Consolidation Loan, and Home Equity Loan",7 Years and 3 Months,203
CUS_0x9f7e,8,6,"Credit-Builder Loan, Not Specified, Debt Consolidation Loan, and Credit-Builder Loan",16 Years and 9 Months,204
CUS_0x23a6,8,6,Home Equity Loan,32 Years and 8 Months,205
CUS_0xa874,3,4,"Mortgage Loan, and Home Equity Loan",24 Years and 3 Months,206
CUS_0x4ea5,1,1,"Personal Loan, and Mortgage Loan",32 Years and 8 Months,207
CUS_0x8208,1,4,"Credit-Builder Loan, Home Equity Loan, and Home Equity Loan",29 Years and 9 Months,208
CUS_0xb35f,8,3,"Credit-Builder Loan, Payday Loan, Home Equity Loan, and Credit-Builder Loan",22 Years and 1 Months,209
CUS_0x8696,6,10,"Credit-Builder Loan, Auto Loan, Auto Loan, Credit-Builder Loan, Credit-Builder Loan, and Credit-Builder Loan",17 Years and 1 Months,210
CUS_0x49da,3,3,Auto Loan,25 Years and 7 Months,211
CUS_0x5d94,0,1,"Home Equity Loan, Student Loan, and Debt Consolidation Loan",27 Years and 10 Months,212
CUS_0x3ef5,8,10,"Mortgage Loan, Personal Loan, Home Equity Loan, Personal Loan, Auto Loan, and Payday Loan",9 Years and 9 Months,213
CUS_0xbda3,7,9,"Home Equity Loan, and Mortgage Loan",13 Years and 9 Months,214
CUS_0x29fd,7,9,"Personal Loan, Personal Loan, Mortgage Loan, Credit-Builder Loan, Debt Consolidation Loan, and Not Specified",8 Years and 2 Months,215
CUS_0xbbf3,6,6,Personal Loan,22 Years and 2 Months,216
CUS_0x2c31,4,7,Home Equity Loan,28 Years and 5 Months,217
CUS_0xb4be,8,6,"Payday Loan, Payday Loan, Not Specified, Credit-Builder Loan, Student Loan, Payday Loan, and Personal Loan",2 Years and 2 Months,218
CUS_0xa203,7,5,"Debt Consolidation Loan, and Debt Consolidation Loan",15 Years and 4 Months,219
CUS_0xa7c3,9,7,"Personal Loan, Credit-Builder Loan, Not Specified, Payday Loan, Credit-Builder Loan, Debt Consolidation Loan, and Auto Loan",19 Years and 2 Months,220
CUS_0x76e7,6,8,"Student Loan, Personal Loan, Home Equity Loan, Not Specified, Home Equity Loan, and Credit-Builder Loan",5 Years and 5 Months,221
CUS_0x46d4,3,5,Student Loan,23 Years and 8 Months,222
CUS_0x396e,4,5,"Not Specified, Credit-Builder Loan, and Personal Loan",,223
CUS_0x74f5,9,6,"Payday Loan, Mortgage Loan, Payday Loan, Student Loan, and Not Specified",2 Years and 8 Months,224
CUS_0xb9e5,6,9,"Student Loan, Personal Loan, Not Specified, Not Specified, Debt Consolidation Loan, Debt Consolidation Loan, and Auto Loan",14 Years and 4 Months,225
CUS_0xacbe,4,4,"Home Equity Loan, Mortgage Loan, Payday Loan, Personal Loan, Mortgage Loan, and Student Loan",9 Years and 3 Months,226
CUS_0x9951,0,102,Payday Loan,15 Years and 7 Months,227
CUS_0xbcb9,1,2,"Personal Loan, Personal Loan, and Debt Consolidation Loan",27 Years and 9 Months,228
CUS_0xae95,5,6,"Not Specified, and Mortgage Loan",29 Years and 2 Months,229
CUS_0x1f9e,8,3,,33 Years and 1 Months,230
CUS_0x2242,6,6,"Not Specified, and Payday Loan",11 Years and 5 Months,231
CUS_0x3e85,6,4,"Payday Loan, Home Equity Loan, and Personal Loan",22 Years and 3 Months,232
CUS_0xa47,4,5,"Student Loan, and Credit-Builder Loan",25 Years and 10 Months,233
CUS_0xaa40,1429,4,"Student Loan, and Student Loan",17 Years and 5 Months,234
CUS_0x1452,8,8,"Mortgage Loan, Payday Loan, Mortgage Loan, Student Loan, and Credit-Builder Loan",8 Years and 11 Months,235
CUS_0x76cf,6,7,"Personal Loan, Student Loan, Payday Loan, Student Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",14 Years and 10 Months,236
CUS_0x703f,5,3,"Mortgage Loan, Personal Loan, Payday Loan, and Credit-Builder Loan",16 Years and 3 Months,237
CUS_0x572,6,3,"Not Specified, Mortgage Loan, and Auto Loan",,238
CUS_0x104e,8,4,"Debt Consolidation Loan, Auto Loan, Payday Loan, and Payday Loan",24 Years and 7 Months,239
CUS_0x6f38,3,7,"Mortgage Loan, Home Equity Loan, and Auto Loan",18 Years and 9 Months,240
CUS_0x7b3c,10,6,"Payday Loan, Payday Loan, Debt Consolidation Loan, Not Specified, Not Specified, Debt Consolidation Loan, Payday Loan, Credit-Builder Loan, and Auto Loan",8 Years and 11 Months,241
CUS_0x709d,9,6,"Mortgage Loan, Student Loan, Payday Loan, Debt Consolidation Loan, and Auto Loan",16 Years and 1 Months,242
CUS_0xc434,3,6,,23 Years and 2 Months,243
CUS_0x8a12,5,6,"Mortgage Loan, Student Loan, and Payday Loan",24 Years and 5 Months,244
CUS_0x4eb4,5,7,"Home Equity Loan, Mortgage Loan, Payday Loan, and Home Equity Loan",10 Years and 7 Months,245
CUS_0xab00,1,5,"Credit-Builder Loan, Personal Loan, and Mortgage Loan",21 Years and 8 Months,246
CUS_0x8c9a,0,2,"Home Equity Loan, Payday Loan, Auto Loan, and Auto Loan",16 Years and 3 Months,247
CUS_0x2c5e,9,8,"Debt Consolidation Loan, and Auto Loan",7 Years and 7 Months,248
CUS_0x70d5,6,3,"Debt Consolidation Loan, Student Loan, and Student Loan",,249
